Year,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,January,February,March,April,May,June,July,August,September ,October,November ,December,January,February,Macrh,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December
Andaman and Nicobar,121.9,121.6,121.8,121.5,124.1,126.8,127,128.3,127.7,129.1,130.7,131.5,130.2,128.9,129.7,130.8,132.7,134.3,135.1,135.6,136.5,137.3,138.9,118.2,117.4,116.8,117.7,117.8,117.3,118.4,120.3,122.1,123,126.3,126.8,126.3
Andhra Pradesh,126.4,127.4,127.3,128.3,129.7,132.9,133.9,135.6,136.8,137.2,138.6,137.9,137,137,137.3,137.8,138.7,140.1,142.9,143.6,142.9,143.2,143.7,119.6,120.1,120.8,121.1,121.8,123.1,125.6,125.9,127.1,127.8,128.7,130.6,130.9
Arunachal Pradesh,132.6,133.4,134.3,134.6,136.1,137.7,140,141.6,142.7,143.9,145.7,144.1,143.7,145.7,145.6,148.6,148.7,149.7,NA,NA,NA,NA,NA,124,123.8,NA,NA,NA,NA,130.8,NA,NA,NA,NA,NA,NA
Assam,125.6,126,126.7,126.3,127.3,129.9,131.3,133.6,136.1,138.9,141.2,139.7,139.7,139.4,139.7,139.4,139.6,142.1,144.1,145.6,147.2,147.5,146.8,118.7,117.4,118.2,118.5,119.7,121.3,122.4,122.8,124,125.7,126.7,126.8,125.7
Bihar,126.2,127.4,127.7,127.2,128,130.7,133.1,135.2,137.9,140.4,144.3,142.1,140.4,140,141.5,142.8,143.9,145.1,147.5,148.7,149.5,150.4,151,122.5,122.7,122.2,122.5,122.7,122.9,124.9,126.3,128.8,130.7,130.8,130,129.1
Chandigarh,125.4,125.7,126.7,127.6,127.8,130.3,133,134.1,135,136.3,137.7,135.6,135.7,135.6,137,138.2,140.8,141.8,144.3,144.8,145,144.3,144.1,116.3,116.7,116.4,117.1,117.8,118.6,119.2,119.6,120.5,121.1,121.6,121.8,121.5
Chattisgarh,123.5,124.4,124.9,125.5,126.3,129.9,133.4,134.9,137.2,139.7,141.8,139.7,139,138.8,139.1,139.9,139.8,141.1,144.4,147,146.3,145.5,146.3,121.9,120.9,121.6,122.7,123.9,125.5,127.3,126.9,128.6,129.1,131.6,132.7,130.2
Delhi,123.3,123.9,125.6,126.4,127,128.6,131.7,134,135.1,135.9,138.1,136,134.8,135.9,136,136.5,137.3,138.3,140.9,141.6,141.6,141.6,141.4,117.1,118.1,118.6,119.7,120.7,121.8,121.6,123.3,124.3,125,125.1,124.6,122.4
Goa,120.1,121.5,122.4,123.7,124.6,126.7,128.7,130.9,132.8,133.2,134.5,134.5,134.7,135.3,136.2,137.1,137.6,138.6,140.8,143,141.9,142.2,141.9,121,120.8,120.3,120.9,120.9,122.4,123.9,124.2,124.9,125.4,125.6,126.7,127.7
Gujarat,126.2,127,127.9,128.8,130.1,131.8,133.5,135.1,135.6,137.6,138.3,136.7,136.4,136.5,136.9,138,138.8,140.2,142.6,144.1,143.4,143.4,143.3,117.8,117.7,118.1,118.4,118.9,119.8,121.6,122.3,123.2,123.5,124.5,124.9,124.3
Haryana,123,123.5,123.8,124.9,125.7,127.2,129.5,131.1,133.1,134.4,135.6,133.1,132.6,132.7,133.4,134.4,135,136.5,139.1,140.4,140.8,140.7,140.3,117.2,117.3,117.2,118.1,118.5,119.1,120.5,120.7,121.6,122.6,123,123.3,122.4
Himachal Pradesh,123,123.5,123.8,124.3,124.6,126.7,128.3,129.9,132.2,133.5,136.1,134.7,134.6,134.4,135.3,136,136.1,136.9,138.9,140.2,140.2,141.2,141.2,120.7,120.4,121,121.9,122.5,123.1,123.9,124.3,125.5,126.1,126.4,125.9,125
Jammu and Kashmir,125.7,125.9,126.4,127.4,127.5,129.2,130.5,131.9,134.5,135.9,136.8,136.3,136.2,135.3,136.1,136.6,137.3,138.9,140,141.1,141.9,142.3,142.2,117.1,119,119.7,120.3,121.6,122.9,122.5,122.7,123.9,123.8,125.1,125.3,124.4
Jharkhand,127.6,128.4,128.4,129.3,130,132.3,134.6,136.5,138.7,141.5,144.8,141.6,139.9,138.8,139.6,140,140.6,142.2,144.6,146.2,146.1,146.2,146.1,118.9,118.3,118.6,119.3,119.8,120.8,122.5,124.5,126.2,127.1,127.2,127,126.3
Karnataka,128.6,130.5,131,132.2,133.9,136.4,137.6,138.5,140.1,140.6,141.2,141.1,140.7,140.8,141.3,142.4,143.5,145.7,148.2,149,148.2,148.9,149.4,122.1,122.5,123,123.3,124.4,125.8,127.7,128.3,128.9,129.3,129.7,130.8,131
Kerala,128,128.6,128.7,129.2,130.3,133,134.3,135.6,137.1,137.9,139.2,138.7,139.1,139.6,140.3,142.1,143.5,144.5,147.3,149.2,149.1,148.8,149.1,121.5,121.9,121.9,122.3,123.1,124.5,125.8,125.5,125.8,125.5,125.8,126.2,126.2
Madhya Pradesh,126.1,126.9,127.4,128,129.2,131.2,133.2,135.1,136.8,138.3,139,137.7,137.3,137.4,137.8,138.3,138.9,140.3,142.7,144.3,144.2,144.2,144.3,119.5,119.9,119.5,120.5,120.7,121.4,122.5,123.1,124.1,124.7,125.5,125.8,125.3
Maharashtra,125,125.7,126.1,126.7,127.8,130.1,131.3,132.9,133.6,134.5,135.2,134.1,133.6,134,134.9,135.8,136.7,137.8,140.4,140.9,140.9,141.1,141.5,117.6,117.6,118,118.4,119,119.7,121,121,121.9,122.2,123,123.7,123.5
Manipur,114.5,114.9,115,115.4,116.4,117.1,117.7,118.6,119.2,120.3,121.1,120.8,120.6,120.5,120.5,121.2,121.6,122.4,122.9,123.5,124,124,123.9,110.5,111.9,114.3,114.8,115.2,116.1,116.5,116.8,117.1,117.3,117.3,117.5,117.2
Meghalaya,135.4,136.3,136.3,136.4,137.6,138.8,139.9,140.4,142.7,145,147.3,148.3,148.8,147.9,150.7,152.1,153.8,157.4,159.3,161.5,163.1,165.5,166,124.2,125.1,125.2,125.4,125.6,125.8,127.2,128.8,131.2,133.7,134.8,134.1,133.8
Mizoram,124.8,125.2,125.5,126.5,128.7,129.4,130.8,130.8,132.5,134.8,137.5,138.7,140.4,140.8,140.7,140.5,141,142.2,142.3,143.3,142.1,143.8,143.7,121.5,122.1,121.6,121.1,121.5,121.8,122.4,123.1,123.8,124.8,125.3,126.9,127.6
Nagaland,118.4,119.8,120.4,121,121.6,124,125.7,126.6,127.8,129.5,131,131.8,132.6,132.8,133.6,136.4,136.7,139.1,141.7,142.6,143.3,143.9,143.8,124.2,122.5,122.9,125.3,125.2,125.9,125.9,126.7,128.4,129,130,131.1,130.2
Orissa,125.1,125.9,125.8,126.7,128.6,131.3,133.2,134,135.4,137.6,142.8,139.9,138.5,136.1,136.2,137,139.3,142.2,145.6,149.1,150.6,149.6,149.4,120.9,120.3,120.7,121.2,121.6,123.1,125.4,126.3,128.3,128.6,130.4,131.1,130.1
Pondicherry,125,126.6,127,128.4,130.9,133.1,134.2,135.7,136.6,137,139,138,137.6,137.8,138.5,139.3,141.2,142.4,145.4,145.5,144.6,144.9,146.1,119.6,120.7,125.7,127.1,127.6,129.4,131.5,132.2,132.5,133,127.7,129.8,130.4
Punjab,122.5,123.1,123.7,124.5,125,126,127.8,129.6,131.3,132.3,133.6,131.4,131.3,131.7,132.6,133.3,133.8,134.8,137.6,139.3,139.7,139.7,139.3,117.9,118.3,118.5,118.8,119,119.5,120.3,120.9,122.2,123.1,123.4,123.6,122.2
Rajasthan,126.5,127.3,127.5,128,128.8,130.5,132.3,133.6,135.4,136.4,138.2,136.8,136.5,136.7,137.6,138.6,139,140.1,143.2,145.3,144.8,144.7,144.9,119.5,120.1,120.7,121.6,122,123.2,123.8,124.6,125.6,126.2,127.4,127.5,127
Sikkim,121.8,122.1,121.6,122.2,122.5,124.3,125.9,126.2,128,129.1,131.3,131.6,130.3,130.1,130.7,131.7,132,133.4,134.9,136.7,138.1,137.9,137.3,117.5,116.8,116.5,117.2,118.2,118.7,119.8,121.2,122.8,125.3,126.2,125.2,126.3
Tamil Nadu,129.7,130.8,131.2,132.3,133.9,136.1,136.7,137.4,138.1,139.1,139.9,139.5,138.8,139.3,139.6,140.8,141.9,143.1,145.7,146.6,145.9,146.2,148,121,121.2,120.9,120.8,121.4,122.9,124.7,125.1,124.8,125.3,126.6,128.6,129.1
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.4,118.1,118.2,118.9,118.9,120.1,122.4,122.7,124,124.5,124.3,125.9,125.3
Tripura,118.5,118.9,118.7,118.9,119.4,120.9,122.4,123.4,129.9,135.5,137.6,137.4,137.4,137.3,140.1,142.8,143.1,145,147.6,148.6,149.5,150.4,150.8,128.3,126.8,126.7,127,128,128.6,128.8,129.1,130.3,132.3,133.5,133,133
Uttar Pradesh,126.4,127.2,127.8,128.3,129.3,131,133.3,134.9,136.6,138.1,141,139.2,138,137.9,139.4,140.4,141.1,141.8,144.4,146.4,146.8,147.1,147.1,119.4,118.8,119.1,119.6,120.1,120.6,121.7,123,124.2,125.1,126,126.5,125.6
Uttaranchal,124.1,124.7,124.8,125.1,125.3,126.9,129.3,130.7,132.5,133.2,136,134.2,133.5,133.8,134.8,136,136.4,137.1,139,140.8,140.7,140.9,140.3,116.5,116.1,116.1,116.7,116.7,117.5,118.4,119.4,120.8,121.3,122,121.9,120.9
West Bengal,128.2,128.9,128.7,129.5,130.3,132.7,133.9,135.8,138.3,141,143.8,142.5,142.2,141,141.7,142.8,143.6,144.5,146.4,147.4,148,148.2,147.9,119.5,119.2,119.9,119.4,119.6,119.8,121.1,122.3,124.6,125.3,125.4,124.7,124.3
